STIS,SampleEventFK,StationCode,DFS,Month,Area
7000,Thes18_April,Thes18,Midshore,April,NC
7001,Thes18_April,Thes18,Midshore,April,NC
7002,Thes18_April,Thes18,Midshore,April,NC
7004,Thes46_April,Thes46,Midshore,April,NC
7005,Thes46_April,Thes46,Midshore,April,NC
7006,Thes46_April,Thes46,Midshore,April,NC
7008,Span18_April,Span18,Midshore,April,NC
7009,Span18_April,Span18,Midshore,April,NC
7010,Span18_April,Span18,Midshore,April,NC
7012,Span46_April,Span46,Midshore,April,NC
7013,Span46_April,Span46,Midshore,April,NC
7014,Span46_April,Span46,Midshore,April,NC
7016,Fren18_April,Fren18,Midshore,April,GB
7017,Fren18_April,Fren18,Midshore,April,GB
7018,Fren18_April,Fren18,Midshore,April,GB
7020,Fren46_April,Fren46,Midshore,April,GB
7021,Fren46_April,Fren46,Midshore,April,GB
7022,Fren46_April,Fren46,Midshore,April,GB
7024,Fren82_April,Fren82,Offshore,April,GB
7025,Fren82_April,Fren82,Offshore,April,GB
7026,Fren82_April,Fren82,Offshore,April,GB
7028,Parr18_April,Parr18,Midshore,April,GB
7029,Parr18_April,Parr18,Midshore,April,GB
7030,Parr18_April,Parr18,Midshore,April,GB
7032,Parr46_April,Parr46,Midshore,April,GB
7033,Parr46_April,Parr46,Midshore,April,GB
7034,Parr46_April,Parr46,Midshore,April,GB
7036,Parr82_April,Parr82,Offshore,April,GB
7037,Parr82_April,Parr82,Offshore,April,GB
7038,Parr82_April,Parr82,Offshore,April,GB
7040,Nott18_April,Nott18,Midshore,April,GB
7041,Nott18_April,Nott18,Midshore,April,GB
7042,Nott18_April,Nott18,Midshore,April,GB
7044,Nott46_April,Nott46,Midshore,April,GB
7045,Nott46_April,Nott46,Midshore,April,GB
7046,Nott46_April,Nott46,Midshore,April,GB
7048,Nott82_April,Nott82,Offshore,April,GB
7049,Nott82_April,Nott82,Offshore,April,GB
7050,Nott82_April,Nott82,Offshore,April,GB
7060,Mait18_May,Mait18,Midshore,May,SMB
7061,Mait18_May,Mait18,Midshore,May,SMB
7062,Mait18_May,Mait18,Midshore,May,SMB
7063,Mait18_May,Mait18,Midshore,May,SMB
7064,Mait46_May,Mait46,Midshore,May,SMB
7065,Mait46_May,Mait46,Midshore,May,SMB
7066,Mait46_May,Mait46,Midshore,May,SMB
7068,Mait73_May,Mait73,Offshore,May,SMB
7069,Mait73_May,Mait73,Offshore,May,SMB
7070,Mait73_May,Mait73,Offshore,May,SMB
7071,Mait73_May,Mait73,Offshore,May,SMB
7072,Saug18_May,Saug18,Midshore,May,NMB
7073,Saug18_May,Saug18,Midshore,May,NMB
7074,Saug18_May,Saug18,Midshore,May,NMB
7076,Saug46_May,Saug46,Midshore,May,NMB
7077,Saug46_May,Saug46,Midshore,May,NMB
7078,Saug46_May,Saug46,Midshore,May,NMB
7080,Harb18_May,Harb18,Midshore,May,SMB
7081,Harb18_May,Harb18,Midshore,May,SMB
7082,Harb18_May,Harb18,Midshore,May,SMB
7083,Harb18_May,Harb18,Midshore,May,SMB
7084,Harb46_May,Harb46,Midshore,May,SMB
7085,Harb46_May,Harb46,Midshore,May,SMB
7086,Harb46_May,Harb46,Midshore,May,SMB
7088,Harb68_May,Harb68,Offshore,May,SMB
7089,Harb68_May,Harb68,Offshore,May,SMB
7090,Harb68_May,Harb68,Offshore,May,SMB
7092,Ocqu18_May,Ocqu18,Midshore,May,NMB
7093,Ocqu18_May,Ocqu18,Midshore,May,NMB
7094,Ocqu18_May,Ocqu18,Midshore,May,NMB
7095,Ocqu18_May,Ocqu18,Midshore,May,NMB
7096,Ocqu46_May,Ocqu46,Midshore,May,NMB
7097,Ocqu46_May,Ocqu46,Midshore,May,NMB
7098,Ocqu46_May,Ocqu46,Midshore,May,NMB
7100,Ocqu82_May,Ocqu82,Offshore,May,NMB
7101,Ocqu82_May,Ocqu82,Offshore,May,NMB
7102,Ocqu82_May,Ocqu82,Offshore,May,NMB
7112,Saug82_May,Saug82,Offshore,May,NMB
7113,Saug82_May,Saug82,Offshore,May,NMB
7114,Saug82_May,Saug82,Offshore,May,NMB
7116,Thes18_June,Thes18,Midshore,June,NC
7117,Thes18_June,Thes18,Midshore,June,NC
7118,Thes18_June,Thes18,Midshore,June,NC
7120,Thes46_June,Thes46,Midshore,June,NC
7121,Thes46_June,Thes46,Midshore,June,NC
7122,Thes46_June,Thes46,Midshore,June,NC
7124,Span18_June,Span18,Midshore,June,NC
7125,Span18_June,Span18,Midshore,June,NC
7126,Span18_June,Span18,Midshore,June,NC
7128,Span46_June,Span46,Midshore,June,NC
7130,Span46_June,Span46,Midshore,June,NC
7131,Span46_June,Span46,Midshore,June,NC
7132,Ocqu18_June,Ocqu18,Midshore,June,NMB
7133,Ocqu18_June,Ocqu18,Midshore,June,NMB
7134,Ocqu18_June,Ocqu18,Midshore,June,NMB
7136,Ocqu46_June,Ocqu46,Midshore,June,NMB
7137,Ocqu46_June,Ocqu46,Midshore,June,NMB
7138,Ocqu46_June,Ocqu46,Midshore,June,NMB
7140,Ocqu82_June,Ocqu82,Offshore,June,NMB
7143,Ocqu82_June,Ocqu82,Offshore,June,NMB
7142,Ocqu82_June,Ocqu82,Offshore,June,NMB
7144,Fren18_June,Fren18,Midshore,June,GB
7145,Fren18_June,Fren18,Midshore,June,GB
7146,Fren18_June,Fren18,Midshore,June,GB
7147,Fren18_June,Fren18,Midshore,June,GB
7148,Fren46_June,Fren46,Midshore,June,GB
7149,Fren46_June,Fren46,Midshore,June,GB
7150,Fren46_June,Fren46,Midshore,June,GB
7152,Fren82_June,Fren82,Offshore,June,GB
7154,Fren82_June,Fren82,Offshore,June,GB
7155,Fren82_June,Fren82,Offshore,June,GB
7156,Parr18_June,Parr18,Midshore,June,GB
7157,Parr18_June,Parr18,Midshore,June,GB
7158,Parr18_June,Parr18,Midshore,June,GB
7159,Parr18_June,Parr18,Midshore,June,GB
7160,Parr46_June,Parr46,Midshore,June,GB
7162,Parr46_June,Parr46,Midshore,June,GB
7163,Parr46_June,Parr46,Midshore,June,GB
7164,Parr82_June,Parr82,Offshore,June,GB
7166,Parr82_June,Parr82,Offshore,June,GB
7167,Parr82_June,Parr82,Offshore,June,GB
7168,Nott18_June,Nott18,Midshore,June,GB
7169,Nott18_June,Nott18,Midshore,June,GB
7170,Nott18_June,Nott18,Midshore,June,GB
7171,Nott18_June,Nott18,Midshore,June,GB
7172,Nott46_June,Nott46,Midshore,June,GB
7174,Nott46_June,Nott46,Midshore,June,GB
7175,Nott46_June,Nott46,Midshore,June,GB
7176,Nott82_June,Nott82,Offshore,June,GB
7178,Nott82_June,Nott82,Offshore,June,GB
7179,Nott82_June,Nott82,Offshore,June,GB
7180,Saug18_June,Saug18,Midshore,June,NMB
7181,Saug18_June,Saug18,Midshore,June,NMB
7182,Saug18_June,Saug18,Midshore,June,NMB
7183,Saug18_June,Saug18,Midshore,June,NMB
7184,Saug46_June,Saug46,Midshore,June,NMB
7185,Saug46_June,Saug46,Midshore,June,NMB
7186,Saug46_June,Saug46,Midshore,June,NMB
7188,Saug82_June,Saug82,Offshore,June,NMB
7189,Saug82_June,Saug82,Offshore,June,NMB
7190,Saug82_June,Saug82,Offshore,June,NMB
7192,Mait18_June,Mait18,Midshore,June,SMB
7193,Mait18_June,Mait18,Midshore,June,SMB
7194,Mait18_June,Mait18,Midshore,June,SMB
7195,Mait18_June,Mait18,Midshore,June,SMB
7196,Mait46_June,Mait46,Midshore,June,SMB
7198,Mait46_June,Mait46,Midshore,June,SMB
7199,Mait46_June,Mait46,Midshore,June,SMB
7200,Mait73_June,Mait73,Offshore,June,SMB
7202,Mait73_June,Mait73,Offshore,June,SMB
7203,Mait73_June,Mait73,Offshore,June,SMB
7204,Harb18_June,Harb18,Midshore,June,SMB
7205,Harb18_June,Harb18,Midshore,June,SMB
7206,Harb18_June,Harb18,Midshore,June,SMB
7207,Harb18_June,Harb18,Midshore,June,SMB
7208,Harb46_June,Harb46,Midshore,June,SMB
7210,Harb46_June,Harb46,Midshore,June,SMB
7211,Harb46_June,Harb46,Midshore,June,SMB
7212,Harb68_June,Harb68,Offshore,June,SMB
7214,Harb68_June,Harb68,Offshore,June,SMB
7215,Harb68_June,Harb68,Offshore,June,SMB
