Site,Survey," Depth [fresh water, m]", Temperature [deg C],Fluorescence [mg/m^3],Oxygen [mg/l],Conductivity [uS/cm],Specific Conductance [uS/cm],Beam Attenuation [1/m], Beam Transmission [%],"SPAR, Biospherical","PAR/Irradiance, Biospherical",CPAR/Corrected Irradiance [%],Density [kg/m^3],"Time, Elapsed [seconds]","Pressure, Digiquartz [db]",Bottles Fired,Altimeter [m], Descent Rate [m/s],pH,Latitude [deg],Longitude [deg],Mean Size [μm] ,Total Volume Concentration [PPM] ,Derived Oxygen [mg/l],Nbin,Flag
Boot Island 18,CSMI I June 2023,1,11.8393,-0.0386,10.6221,84.98073,118.466,-0.0981,100.3656,1821.8,187.05,10.283,999.5446,186.307,0.98,0,64.48,0.102,8.776,45.95108,-84.26381,-64.0815,12.4876,10.83033,7,0
Boot Island 18,CSMI I June 2023,2,9.9454,-0.0871,12.101,118.803865,172.004,-1.6285,104.2182,1809.1,98.774,5.447,999.7639,404.637,1.961,0,30.67,0.035,8.399,45.95186,-84.26732,38.3868,49.0778,11.30949,201,0
Boot Island 18,CSMI I June 2023,3,9.2756,-0.1532,11.8691,131.069503,191.191,-2.1212,105.4462,2214.2,89.459,4.0389,999.8461,608.534,2.942,0,17.13,0.195,8.277,45.95212,-84.26902,-37.1219,17.9652,11.47767,5,0
Boot Island 18,CSMI I June 2023,4,8.8593,-0.1381,12.1055,129.998676,191.956,-2.2381,105.7548,2113.7,68.408,3.2372,999.883,611.152,3.922,0,16.11,0.195,8.269,45.95212,-84.26904,106.0452,91.6138,11.59229,5,0
Boot Island 18,CSMI I June 2023,5,8.5268,-0.0461,12.2055,129.110999,192.538,-2.3893,106.1554,2246,60.416,2.6912,999.9111,615.968,4.903,0,15.11,0.206,8.27,45.95211,-84.26904,95.8386,79.4806,11.68582,5,0
Boot Island 18,CSMI I June 2023,6,8.1247,0.0034,12.3069,127.784448,192.873,-2.489,106.4202,2284.6,55.023,2.4089,999.9423,620.605,5.884,0,14.09,0.213,8.268,45.9521,-84.26904,93.288,78.3082,11.80044,4,0
Boot Island 18,CSMI I June 2023,7,7.8425,0.0207,12.3923,126.702315,192.883,-2.5107,106.478,2301.3,48.727,2.117,999.9641,625.147,6.865,0,13.09,0.214,8.263,45.95211,-84.26905,91.1893,74.4528,11.88209,5,0
Boot Island 18,CSMI I June 2023,8,7.7173,0.036,12.4205,126.35294,193.087,-2.3689,106.1014,2229.9,41.538,1.8618,999.976,630.342,7.845,0,12.01,0.187,8.259,45.95211,-84.26909,89.3522,72.3899,11.91866,6,0
Boot Island 18,CSMI I June 2023,9,7.6672,0.0443,12.4398,126.245592,193.219,-2.2431,105.768,2221,36.002,1.6206,999.9837,635.736,8.826,0,11.03,0.179,8.258,45.9521,-84.26911,86.5602,68.2787,11.93335,5,0
Boot Island 18,CSMI I June 2023,10,7.2756,0.0638,12.504,125.468439,194.361,-2.3345,106.01,2123.1,29.433,1.3861,1000.0095,640.983,9.806,0,10.04,0.191,8.25,45.9521,-84.26913,86.3251,66.7139,12.04928,5,0
