STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7000,Epi,34.57,251.7,4.25,389,7.58,0.64,2.9,12.28,4.19,4.23,9.29,0.994,3.32,2.667,0.567
7001,Mid,21.86,225.7,3.69,375,5.33,0.53,1.76,11.11,3.15,4.3,9.6,0.937,3.33,1.793,0.333
7002,Bottom ,10.35,256.5,4.41,369,8.31,0.74,3.27,16.67,5.07,4.87,10.9,0.643,2.63,1.34,0.26
7004,Epi,13.33,291.4,2.26,378,5.08,0.76,3.36,18.45,5.52,5.13,11.57,0.652,1.78,0.453,0.193
7005,Mid,18.15,297.8,3.08,376,0.61,0.76,3.42,18.39,5.45,5.11,11.46,0.609,1.92,0.48,0.14
7006,Bottom ,16.65,293.2,3.98,375,1.92,0.78,3.41,17.42,5.53,5.19,11.62,0.658,1.91,0.36,0.227
7008,Epi,25.64,249.5,3.36,368,5.36,0.84,4.12,18.18,5.76,5.94,14.13,0.677,,0.08,0.22
7009,Mid,22.8,269.8,4.3,419,6.32,0.85,4.25,18.47,5.72,6.1,14.67,0.62,2.37,0.307,0.3
7010,Bottom ,19.46,246.5,3.34,398,10.3,0.86,4.39,17.56,5.64,6.19,14.94,,2.49,0.32,0.32
7012,Epi,21.01,287.6,3.17,398,2.67,0.83,3.76,19.2,6.12,5.82,13.3,0.498,2.01,0.047,0.02
7013,Mid,24.07,284.7,3.12,385,5.82,0.81,3.78,18.76,6.14,5.8,13.29,0.589,2.05,0.193,0.353
7014,Bottom,10.35,270.1,2.34,507,4.87,0.86,3.9,20.65,6.26,5.83,13.36,0.557,2.22,0.173,0.107
7016,Epi,13.11,254.9,1.52,380,2.15,0.9,4.28,22.31,6.84,6.94,14.19,0.18,,0.007,0.18
7017,Mid,16.02,310.3,2.43,363,3.89,0.89,4.33,21.86,6.65,7.22,14.3,0.161,1.87,0.04,0.24
7018,Bottom ,21.85,260.8,2.42,380,5.53,0.91,4.32,22.09,6.87,6.97,14.27,0.168,1.73,0.013,0.147
7020,Epi,26.57,277.7,2.22,390,6.07,0.93,4.35,22.96,6.89,7.3,14.4,0.261,1.99,0.087,0.113
7021,Mid,14.72,259.2,1.64,360,2.49,0.94,4.37,22.77,7.02,7.03,14.37,0.287,1.92,0.007,-0.007
7022,Bottom ,7.74,252.5,1.8,332,0.61,0.93,4.37,22.95,6.95,7.06,14.43,0.246,2.23,0.047,0.26
7024,Epi,12.15,266.9,2.34,338,5.63,0.92,4.41,23.2,6.89,7.06,14.43,0.331,2.07,0.107,0.06
7025,Mid,19.03,262,2.35,374,1.59,0.94,4.39,22.56,6.94,7.06,14.45,0.335,1.86,0.073,0.053
7026,Bottom ,19.12,281.8,2.82,374,1.44,0.92,4.34,22.74,6.93,7.03,14.58,0.226,1.86,0.073,0.093
7028,Epi,36.63,286,3.53,332,2.36,0.92,4.44,22.24,6.74,7.08,13.89,0.215,2.19,-0.007,-0.007
7029,Mid,15.74,234,7.32,338,2.06,0.9,4.33,21.72,6.47,7.06,13.93,0.218,2.49,0.027,0.14
7030,Bottom ,18.29,244.7,2.53,315,2.69,0.9,4.35,21.65,6.52,7.02,13.85,0.238,2.18,0.027,0.26
7032,Epi,14.39,257.6,1.83,333,2,0.89,4.37,22.68,6.76,7.1,14.38,0.307,1.88,0.06,0.12
7033,Mid,14.36,262,3.19,349,1.45,0.91,4.26,22.68,6.74,7.12,14.37,0.303,2.02,0.093,0.133
7034,Bottom ,15.02,256.5,2.19,372,5.63,0.9,4.32,21.9,6.75,7.09,14.33,0.247,1.96,0.22,0.093
7036,Epi,23.48,278,4.04,379,6.95,0.92,4.38,21.8,6.87,7.16,14.31,0.302,2.16,0.14,0.347
7037,Mid,14.81,259.6,2.29,369,4.2,0.92,4.37,22.5,6.77,7.16,14.34,0.247,1.91,-0.033,-0.013
7038,Bottom ,38.31,259.5,3.2,368,1.56,0.91,4.4,23.16,6.72,7.17,14.37,0.252,1.89,0.127,0.173
7040,Epi,14.61,273.1,2.8,249,4.37,0.92,4.41,22.9,6.78,7.31,14.27,0.24,2.02,0.167,0.12
7041,Mid,14.72,284.5,3.24,353,1.31,0.94,4.43,22.27,6.88,7.29,14.18,0.274,2,0.147,0.04
7042,Bottom ,9.68,271.2,2.03,359,2.71,0.9,4.49,23.87,6.84,7.34,14.29,0.273,1.84,0.047,0.22
7044,Epi,15.46,281.1,2.29,473,2.32,0.91,4.56,23.22,6.8,7.35,14.24,0.331,1.86,0.127,0.24
7045,Mid,11.53,267.9,2.83,395,0.61,0.91,4.47,23.52,6.74,7.27,14.15,0.353,1.76,0.153,0.107
7046,Bottom ,14.19,274.2,2.1,371,3.13,0.89,4.49,23.66,6.82,7.28,14.13,0.278,1.9,0.233,0.253
7048,Epi,11.02,258,2.4,382,4.67,0.88,4.42,23.87,6.69,7.18,14.15,0.365,1.73,0.167,0.16
7049,Mid,17.4,259.9,2.76,364,2.21,0.87,4.47,23.73,6.72,7.19,14.7,0.334,1.8,0.18,0.08
7050,Bottom ,12.09,269.5,2.68,344,3.15,0.93,4.48,24.85,6.83,7.25,14.34,0.269,1.88,0.1,0.193
7060,Epi,5.55,344.7,2.36,442,1.8,1,4.49,26.2,7.67,7.31,16.15,0.594,1.42,1.05,0.25
7061,Mid,5.43,340.7,2.52,455,2.42,1.03,4.48,26.08,7.76,7.3,15.95,0.476,1.36,0.815,0.09
7062,Bottom ,7.8,341.9,2.17,434,0.61,1.01,4.48,25.94,7.84,7.32,16.02,0.395,1.42,0.83,0.28
