STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22282,June,E June,USGS,Lake Huron,Boot Island 18,NMB,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Epi,5,,,,,,410,5.26,,,,,,,,,0.63
22283,June,E June,USGS,Lake Huron,Boot Island 18,NMB,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Mid,8,,,,,,399,6.22,,,,,,,,,0.74
22284,June,E June,USGS,Lake Huron,Boot Island 18,NMB,Midshore,CSMI -USGS biweekly sampling,6/8/2022,6/8/2022,,,Bottom,14,,,,,,397,6.17,,,,,,,,,0.82
22206,June,L June,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,6/19/2022,6/19/2022,12:20,19.6,Epi,5,No,Unstratified,14.16,283,3.28,403,6.2,0.81,3.85,21.84,6.72,6.87,14.04,1.85,4.47,0.54
22207,June,L June,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,6/19/2022,6/19/2022,12:20,19.6,Mid,11,No,Unstratified,14.23,301,3.61,413,5.32,0.85,4.06,22.2,6.82,6.72,14.38,1.92,4.82,0.48
22208,June,L June,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,6/19/2022,6/19/2022,12:20,19.6,Bottom,17,No,Unstratified,15.71,298,3.86,427,6.14,0.83,4.1,22.36,6.82,7.23,14.67,1.89,4.64,0.49
22252,July,E July,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,7/10/2022,7/10/2022,8:55,19.7,Epi,5,No,Unstratified,,,,400,4.94,,,,,,,,,0.61
22253,July,E July,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,7/10/2022,7/10/2022,8:55,19.7,Mid,11.2,No,Unstratified,,,,400,4.98,,,,,,,,,0.61
22254,July,E July,LEII,Lake Huron,Boot Island 18,NMB,Midshore,CSMI,7/10/2022,7/10/2022,8:55,19.7,Bottom,17.6,No,Unstratified,,,,376,5.39,,,,,,,,,0.72
22370,July,L July,USGS,Lake Huron,Boot Island 18,NMB,Midshore,CSMI -USGS biweekly sampling,7/22/2022,7/22/2022,,,Epi,5,,,,,,457,3.3,,,,,,,,,0.54
