SiteID,Site,UnifiedDate,MonthPeriod,DFS,Month,Area,MeterEnd,MeterMCoe,Volume
Ztx153-22154,Saginaw Bay 13,6/6/2022,E June,Nearshore,June,SB,440,11.737484,2.304647647
Ztx64-22154,Saginaw Bay 13,6/6/2022,E June,Nearshore,June,SB,85,13.27615,2.606763755
Ztx153-22150,Saginaw Bay 9,6/6/2022,E June,Nearshore,June,SB,260,6.935786,1.361837246
Ztx64-22150,Saginaw Bay 9,6/6/2022,E June,Nearshore,June,SB,240,6.674163178,1.310467769
Ztx153-22162,Harbor Beach 18,6/7/2022,E June,Midshore,June,SMB,590,15.738899,3.090322982
Ztx64-22162,Harbor Beach 18,6/7/2022,E June,Midshore,June,SMB,330,9.176974369,1.801893182
Ztx153-22166,Harbor Beach 46,6/7/2022,E June,Midshore,June,SMB,2110,56.286571,11.05183304
Ztx64-22166,Harbor Beach 46,6/7/2022,E June,Midshore,June,SMB,790,21.96912046,4.313623072
Ztx153-22158,Harbor Beach 5,6/7/2022,E June,Nearshore,June,SMB,30,4.6857,0.920034266
Ztx64-22158,Harbor Beach 5,6/7/2022,E June,Nearshore,June,SMB,30,4.6857,0.920034266
Ztx153-22170,Harbor Beach 63,6/7/2022,E June,Offshore,June,SMB,2430,64.822923,12.72794042
Ztx64-22170,Harbor Beach 63,6/7/2022,E June,Offshore,June,SMB,720,20.02248953,3.931403306
Ztx153-22178,Maitland River 18,6/7/2022,E June,Midshore,June,SMB,110,17.1809,3.373458977
Ztx64-22178,Maitland River 18,6/7/2022,E June,Midshore,June,SMB,110,17.1809,3.373458977
Ztx153-22298,Thessalon River 46,6/7/2022,E June,Midshore,June,NC,270,42.1713,8.280308398
Ztx64-22298,Thessalon River 46,6/7/2022,E June,Midshore,June,NC,270,42.1713,8.280308398
Ztx153-22302,Thessalon River 46 Offshore,6/7/2022,E June,Offshore,June,NC,250,39.0475,7.66695222
Ztx64-22302,Thessalon River 46 Offshore,6/7/2022,E June,Offshore,June,NC,250,39.0475,7.66695222
Ztx153-22282,Boot Island 18,6/8/2022,E June,Midshore,June,NMB,540,14.405094,2.828431204
Ztx64-22282,Boot Island 18,6/8/2022,E June,Midshore,June,NMB,350,9.733154634,1.911098829
Ztx153-22286,Boot Island 46,6/8/2022,E June,Midshore,June,NMB,1800,48.01698,9.428104012
Ztx64-22286,Boot Island 46,6/8/2022,E June,Midshore,June,NMB,760,21.13485006,4.149814601
Ztx153-22290,Boot Island 73,6/8/2022,E June,Offshore,June,NMB,3620,96.567482,18.96096474
Ztx64-22290,Boot Island 73,6/8/2022,E June,Offshore,June,NMB,1170,32.53654549,6.388530372
Ztx153-22182,Maitland River 46,6/8/2022,E June,Midshore,June,SMB,280,43.7332,8.586986487
Ztx64-22182,Maitland River 46,6/8/2022,E June,Midshore,June,SMB,280,43.7332,8.586986487
Ztx153-22174,Maitland River 5,6/8/2022,E June,Nearshore,June,SMB,50,7.8095,1.533390444
Ztx64-22174,Maitland River 5,6/8/2022,E June,Nearshore,June,SMB,50,7.8095,1.533390444
Ztx153-22186,Maitland River 73,6/8/2022,E June,Offshore,June,SMB,380,59.3522,11.65376737
Ztx64-22186,Maitland River 73,6/8/2022,E June,Offshore,June,SMB,380,59.3522,11.65376737
Ztx153-22294,Thessalon River 18,6/8/2022,E June,Midshore,June,NC,100,15.619,3.066780888
Ztx64-22294,Thessalon River 18,6/8/2022,E June,Midshore,June,NC,100,15.619,3.066780888
Ztx64-22190,Saugeen River 18,6/9/2022,E June,Midshore,June,NMB,80,12.4952,2.453424711
