STIS,Date
22206A,8/14/2022
22208A,8/14/2022
22210A,8/14/2022
22211A,8/14/2022
22212A,8/14/2022
22214A,8/14/2022
22216A,8/14/2022
22217A,8/14/2022
22218A,8/14/2022
22222A,8/14/2022
22224A,8/14/2022
22226A,8/14/2022
22227A,8/14/2022
22228A,8/14/2022
22230A,8/14/2022
22231A,8/14/2022
22232A,8/14/2022
22090A,8/13/2022
22094A,8/13/2022
22096A,8/13/2022
22098A,8/13/2022
22099A,8/13/2022
22100A,8/13/2022
22102A,8/12/2022
22106A,8/12/2022
22108A,8/12/2022
22110A,8/12/2022
22112A,8/12/2022
22113A,8/12/2022
22114A,8/12/2022
22116A,8/12/2022
22117A,8/12/2022
22126A,8/9/2022
22128A,8/9/2022
22129A,8/9/2022
22138A,8/8/2022
22139A,8/8/2022
22140A,8/8/2022
22142A,8/8/2022
22144A,8/8/2022
22145A,8/8/2022
22146A,8/8/2022
22148A,8/8/2022
22149A,8/8/2022
22234A,8/7/2022
22174A,8/6/2022
22190A,8/6/2022
22191A,8/6/2022
22192A,8/6/2022
22194A,8/6/2022
22195A,8/6/2022
22196A,8/6/2022
22198A,8/6/2022
22200A,8/6/2022
22201A,8/6/2022
22178A,8/5/2022
22179A,8/5/2022
22180A,8/5/2022
22182A,8/5/2022
22183A,8/5/2022
22184A,8/5/2022
22186A,8/5/2022
22188A,8/5/2022
22189A,8/5/2022
22158A,8/4/2022
22162A,8/4/2022
22163A,8/4/2022
22164A,8/4/2022
22166A,8/4/2022
22167A,8/4/2022
22168A,8/4/2022
22170A,8/4/2022
22171A,8/4/2022
22172A,8/4/2022
22150A,8/2/2022
22152A,8/2/2022
22154A,8/2/2022
22155A,8/2/2022
22156A,8/2/2022
22252,7/10/2022
22253,7/10/2022
22254,7/10/2022
22256,7/10/2022
22257,7/10/2022
22258,7/10/2022
22260,7/10/2022
22262,7/10/2022
22263,7/10/2022
22334,7/10/2022
22335,7/10/2022
22336,7/10/2022
22338,7/10/2022
22339,7/10/2022
22340,7/10/2022
22342,7/10/2022
22343,7/10/2022
22344,7/10/2022
22264,7/9/2022
22265,7/9/2022
22266,7/9/2022
22268,7/9/2022
22269,7/9/2022
22270,7/9/2022
22272,7/9/2022
22273,7/9/2022
22274,7/9/2022
22330,7/9/2022
22331,7/9/2022
22130,6/12/2022
22131,6/12/2022
22132,6/12/2022
22118,6/11/2022
22122,6/11/2022
22123,6/11/2022
