"","MDS1","MDS2"
"1",-0.168548028265793,-0.714719252423795
"84",-0.186980027293501,-0.406702755826003
"167",-0.0944214977968671,-0.203678571772331
"250",-0.215009423569266,-0.121321922071412
"333",0.282074899160788,-0.0949361061832835
"416",0.690943956834627,-0.0693215456055006
"499",0.168858176481263,0.00784491788199802
"582",0.295811358914116,0.15561665640616
"665",0.477576399129117,-0.0645357757711251
"748",0.984955861942384,0.0494469020938388
"831",0.278620879560684,0.739429717736427
"914",0.897301306387018,0.237172055472973
"997",0.825362598248273,0.138855486579165
"1080",0.820611513960745,0.0573830149666938
"1163",-0.417403218301149,-0.260254475378637
"1246",0.383393999375249,0.241947513342702
"1329",0.497119943164852,0.648994162981237
"1412",0.604446058411717,0.119748451030034
"1495",0.935662770303713,-0.0279959111241127
"1578",0.838236013486443,-0.085859733962858
"1661",0.00895377445561661,1.13319539549651
"1744",0.927593043285502,-0.137416198103433
"1827",0.97497605501099,-0.127487374856498
"1910",0.966548792363405,-0.219357049720717
"1993",0.587524351474918,0.0687081268196053
"2076",0.763399768832853,0.109381140848729
"2159",0.780342452645751,-0.0608088498751416
"2242",0.0295110006549266,-0.69814104751127
"2325",0.398345913947278,-0.0768977695688715
"2408",0.456357361836528,-0.107167348375364
"2491",-0.44409111482498,-0.785842570590171
"2574",-0.126356820578094,-0.333477876659142
"2657",-0.256476922525556,-0.691226855737066
"2740",0.0385013786009896,-0.293734595607062
"2823",-0.280442206545241,-0.291819159753014
"2906",0.0886176557503436,-0.0777892961777647
"2989",0.238222721384456,-0.0444914606527027
"3072",-0.451767366651082,-0.537664215294716
"3155",-0.136757703417755,-0.598223606650556
"3238",-0.275096730867323,-0.450027938053361
"3321",0.320061113743291,-0.169633171791775
"3404",0.49626292012066,-0.0697264898272067
"3487",0.738416695932191,-0.179997263718742
"3570",0.115438203448425,-0.18544052251476
"3653",0.179579925199801,-0.131101211743235
"3736",0.137335745286631,-0.217180089132343
"3819",-0.40214687798588,0.107620556127286
"3902",-0.790674545940257,-0.33298893342046
"3985",-0.455324507780107,0.288062971262642
"4068",-0.220609162552718,0.184806997466812
"4151",0.510595973770997,0.241652334780136
"4234",0.705388589829989,-0.0133706653623306
"4317",-0.923241154687425,0.126723396058647
"4400",-0.401457856027722,0.265110421319228
"4483",0.0568645333434307,0.0906953170921857
"4566",0.200203372595802,0.177058398492451
"4649",-0.67887066818666,0.209521663533786
"4732",-0.611020870907404,0.191856970721718
"4815",-0.682543184568512,0.161474808878291
"4898",-0.254704427016178,0.427870992199518
"4981",0.0401282223462297,0.0977854129813999
"5064",0.253032809804013,0.0343346220225454
"5147",0.111912996386209,-0.238840762511953
"5230",0.0482954029000511,-0.0952196904257321
"5313",0.107685678150722,-0.0225619616805721
"5396",-0.625287000822618,-0.345500444300683
"5479",-0.321064078343404,-0.445120832158034
"5562",-0.0182922427811162,-0.251045566503484
"5645",-0.469427986428156,-0.0128391895001618
"5728",-0.539843432775111,-0.00256519270971009
"5811",-0.303385883082852,-0.0620843601790162
"5894",-0.575153936092251,0.12317268720047
"5977",-0.626294417128683,0.31706267978641
"6060",-0.0827538798996751,0.0393608133984242
"6143",0.0162949907252465,0.158280982180537
"6226",-0.197415861918306,0.0739051500793537
"6309",-0.465315472482986,0.202037453383998
"6392",-0.12905945783222,0.113264676749256
"6475",-0.0656139217953662,0.159199410116201
"6558",-0.924410742669079,-0.286251942194019
"6641",-0.759338658169351,-0.209553517839813
"6724",-0.559232734731413,0.524970616311381
"6807",-0.208889101442923,0.238695010166423
"6890",-0.0727662675407964,0.108816192799189
"6973",0.221577256733665,0.0941407086819628
"7056",-0.471103364577613,0.83967328657451
"7139",-0.290475525598934,0.368514921676779
"7222",0.0628880569852017,0.0739550908152653
"7305",0.0907204584285354,0.0656538129445162
"7388",-0.22384956360212,0.37356517694912
"7471",0.0117175496700236,0.188648046013697
"7554",0.0160546277408877,0.105225629100714
"7637",-0.479320734672056,-0.0275720744099754
"7720",-0.256457056191337,-0.043769973117266
"7803",0.00129847827429721,-0.0476931307904026
"7886",-0.818268779533832,-0.0344096814470903
"7969",-0.408596466855107,-0.0941429216121958
"8052",-0.312777019527179,-0.23388761422169
"8135",-0.171385398137371,-0.0737032293577673
"8218",-0.831900306099521,0.926658946255401
