STIS,TN,TP,chla
7000,389,7.58,0.994
7001,375,5.33,0.937
7002,369,8.31,0.643
7004,378,5.08,0.652
7005,376,0.61,0.609
7006,375,1.92,0.658
7008,368,5.36,0.677
7009,419,6.32,0.62
7010,398,10.3,
7012,398,2.67,0.498
7013,385,5.82,0.589
7014,507,4.87,0.557
7016,380,2.15,0.18
7017,363,3.89,0.161
7018,380,5.53,0.168
7020,390,6.07,0.261
7021,360,2.49,0.287
7022,332,0.61,0.246
7024,338,5.63,0.331
7025,374,1.59,0.335
7026,374,1.44,0.226
7028,332,2.36,0.215
7029,338,2.06,0.218
7030,315,2.69,0.238
7032,333,2,0.307
7033,349,1.45,0.303
7034,372,5.63,0.247
7036,379,6.95,0.302
7037,369,4.2,0.247
7038,368,1.56,0.252
7040,249,4.37,0.24
7041,353,1.31,0.274
7042,359,2.71,0.273
7044,473,2.32,0.331
7045,395,0.61,0.353
7046,371,3.13,0.278
7048,382,4.67,0.365
7049,364,2.21,0.334
7050,344,3.15,0.269
7060,442,1.8,0.594
7061,455,2.42,0.476
7062,434,0.61,0.395
7064,217,0.61,0.245
7065,373,7.09,0.273
7066,333,0.61,0.27
7068,400,0.61,0.388
7069,358,1.58,0.425
7070,389,0.61,0.347
7072,564,4.88,0.562
7073,515,1.95,0.391
7074,575,2.34,0.416
7076,419,0.61,0.267
7077,464,2.01,0.336
7078,429,2.13,0.318
7080,565,2.82,0.946
7081,564,4.69,1.228
7082,583,2.34,0.81
7084,422,1.39,0.323
7085,438,2.25,0.32
7086,455,2.18,0.333
7088,440,4.16,0.394
7089,445,8.57,0.426
7090,451,2.03,0.439
7092,426,2.83,0.141
7093,425,2.52,0.134
7094,255,1.27,0.127
7096,438,0.61,0.385
7097,419,0.61,0.358
7098,417,0.61,0.411
7100,427,0.61,0.511
7101,434,0.61,0.47
7102,426,0.61,0.407
7112,429,0.61,0.545
7113,449,2.75,0.589
7114,438,0.61,0.563
7116,430,2.58,1.7205
7117,442,0.61,1.3736
7118,427,2.46,1.6137
7120,419,0.61,1.7241
7121,420,2.1,1.3994
7122,414,0.61,0.6164
7124,366,0.61,1.3906
7125,362,2.72,2.0493
7126,382,9.72,1.254
7128,396,3.09,1.1582
7130,381,2.32,0.5256
7131,398,3.31,2.0191
7132,396,0.61,0.5469
7133,432,2.04,0.8773
7134,404,1.78,0.9599
7136,415,0.61,0.7358
7137,440,4.42,1.2662
7138,459,7.74,0.8981
7140,467,7.31,0.7444
7142,415,0.61,0.3339
7143,417,7.91,0.5519
7144,366,1.6,0.8221
7145,361,0.61,1.0536
7146,377,2.65,0.8234
7148,352,3.11,0.4975
7149,362,3.85,0.568
7150,359,0.61,0.4262
7152,364,0.61,0.3005
7154,371,1.89,0.6059
7155,384,2.57,0.9473
7156,372,3.84,0.6519
7158,377,1.32,0.4288
7159,366,5.89,0.3762
7160,379,2.19,0.563684211
7162,369,5.37,0.3174
7163,381,1.87,0.683375
7164,301,2.49,0.6277
7166,374,2.57,0.3926
