Area,Group,Average Density (Count/m^3)
GB,Adult Calanoid,644.6956038
GB,Adult Cyclopoid,317.4707185
GB,Cladoceran,654.2963051
GB,Harpacticoid,5.09491893
GB,Immature Calanoid,1575.726755
GB,Immature Cyclopoid,645.5696448
GB,Mysid,
NC,Adult Calanoid,709.5910075
NC,Adult Cyclopoid,421.8149126
NC,Cladoceran,3106.122704
NC,Harpacticoid,
NC,Immature Calanoid,2250.307465
NC,Immature Cyclopoid,2921.175495
NC,Mysid,
NMB,Adult Calanoid,1074.641926
NMB,Adult Cyclopoid,462.1277421
NMB,Cladoceran,781.0960036
NMB,Harpacticoid,
NMB,Immature Calanoid,4273.121302
NMB,Immature Cyclopoid,1159.304959
NMB,Mysid,
SB,Adult Calanoid,671.915393
SB,Adult Cyclopoid,247.6777866
SB,Cladoceran,6179.606325
SB,Harpacticoid,20.12216797
SB,Immature Calanoid,1988.743957
SB,Immature Cyclopoid,859.4722761
SB,Mysid,
SMB,Adult Calanoid,1696.157631
SMB,Adult Cyclopoid,309.988527
SMB,Cladoceran,442.3587841
SMB,Harpacticoid,1.08692
SMB,Immature Calanoid,5703.827215
SMB,Immature Cyclopoid,722.4434871
SMB,Mysid,0.11646
