<<<<<<< HEAD
﻿Month,Group,Average Density (Count/m^3)
GB,Mollusks,8828.635399
GB,Nauplii,5612.237861
GB,Rotifera,33488.5086
NC,Mollusks,10453.5929
NC,Nauplii,12032.89224
NC,Rotifera,38544.05156
NMB,Mollusks,10279.4043
NMB,Nauplii,9328.276767
NMB,Rotifera,27386.43947
SB,Mollusks,26113.47874
SB,Nauplii,12222.76506
SB,Rotifera,77129.59137
SMB,Mollusks,28622.77953
SMB,Nauplii,11919.42717
SMB,Rotifera,21358.47859
=======
﻿Month,Group,Average Density (Count/m^3)
GB,Mollusks,8828.635399
GB,Nauplii,5612.237861
GB,Rotifera,33488.5086
NC,Mollusks,10453.5929
NC,Nauplii,12032.89224
NC,Rotifera,38544.05156
NMB,Mollusks,10279.4043
NMB,Nauplii,9328.276767
NMB,Rotifera,27386.43947
SB,Mollusks,26113.47874
SB,Nauplii,12222.76506
SB,Rotifera,77129.59137
SMB,Mollusks,28622.77953
SMB,Nauplii,11919.42717
SMB,Rotifera,21358.47859
>>>>>>> 7e83a894aec7240f6d210bea0259c0f017a86462
