"","OP_DATE","VESSEL","CRUISE","SERIAL","PORT","STATION_DEPTH","FLOW_START","FLOW_END","DISTANCE_PARM","TOD","STRAT_MIN","STRAT_MAX","SUB_SAMPLE","SAMPLE_VOLUME","ALIQUOT_VOLUME","TOTAL_COUNT","ITIS","REF_NAME","LIFE_STAGE","LIFE_STAGE_NAME"
"1","15-Jul-17",88,6,451,356,46,418542,419250,0.01451,3,0,20,"S",300,1,81,81338,"Dreissena",6,"veliger"
"2","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,44,59417,"Conochilus",8,"adult"
"3","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,4,59434,"Collotheca",8,"adult"
"4","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,3,59270,"Polyarthra",8,"adult"
"5","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,1,59167,"Ascomorpha",8,"adult"
"6","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,2,59175,"Gastropus",8,"adult"
"7","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,119,59255,"Synchaeta",8,"adult"
"8","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,1,58485,"Kellicottia",8,"adult"
"9","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,5,81338,"Dreissena",6,"veliger"
"10","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,68,85257,"Copepoda or copepods",1,"nauplius"
"11","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,543,59417,"Conochilus",8,"adult"
"12","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,3,59434,"Collotheca",8,"adult"
"13","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,12,59270,"Polyarthra",8,"adult"
"14","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,3,59167,"Ascomorpha",8,"adult"
"15","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,16,59175,"Gastropus",8,"adult"
"16","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,11,59255,"Synchaeta",8,"adult"
"17","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,1,59282,"Ploesoma",8,"adult"
"18","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,32,81338,"Dreissena",6,"veliger"
"19","22-Jul-17",88,6,577,320,46,326273,327034,0.01451,3,0,20,"S",400,1,91,85257,"Copepoda or copepods",1,"nauplius"
"20","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,113,85257,"Copepoda or copepods",1,"nauplius"
"21","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,182,59417,"Conochilus",8,"adult"
"22","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,3,59434,"Collotheca",8,"adult"
"23","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,2,58348,"Keratella",8,"adult"
"24","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,3,59270,"Polyarthra",8,"adult"
"25","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,2,59167,"Ascomorpha",8,"adult"
"26","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,16,59175,"Gastropus",8,"adult"
"27","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,35,59255,"Synchaeta",8,"adult"
"28","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,5,59282,"Ploesoma",8,"adult"
"29","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,55,81338,"Dreissena",6,"veliger"
"30","17-Jul-17",88,6,479,330,46,587700,588642,0.01451,3,20,35,"S",200,1,15,202422,"Plantae or plant",18,"pollen"
"31","18-Jul-17",88,6,489,330,18,707013,707494,0.01451,3,0,10,"S",200,2,5,202422,"Plantae or plant",18,"pollen"
"32","18-Jul-17",88,6,506,330,82,792589,793310,0.01451,3,0,20,"S",500,1,14,202422,"Plantae or plant",18,"pollen"
"33","18-Jul-17",88,6,507,330,82,793310,794195,0.01451,NA,20,40,"S",400,1,15,202422,"Plantae or plant",18,"pollen"
"34","19-Jul-17",88,6,522,326,73,926770,927629,0.01451,3,20,40,"S",200,1,2,202422,"Plantae or plant",18,"pollen"
"35","20-Jul-17",88,6,535,326,46,31964,32574,0.01451,3,0,20,"S",500,1,1,202422,"Plantae or plant",18,"pollen"
"36","20-Jul-17",88,6,536,326,46,32580,33134,0.01451,3,20,35,"S",300,1,1,202422,"Plantae or plant",18,"pollen"
"37","21-Jul-17",88,6,563,320,68,221816,222543,0.01451,3,0,20,"S",300,1,1,202422,"Plantae or plant",18,"pollen"
"38","21-Jul-17",88,6,564,320,68,222554,223542,0.01451,3,20,40,"S",300,1,8,202422,"Plantae or plant",18,"pollen"
"39","22-Jul-17",88,6,577,320,46,326273,327034,0.01451,3,0,20,"S",400,1,6,202422,"Plantae or plant",18,"pollen"
"40","22-Jul-17",88,6,578,320,46,325399,326261,0.01451,3,20,35,"S",250,2,4,202422,"Plantae or plant",18,"pollen"
"41","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,143,85257,"Copepoda or copepods",1,"nauplius"
"42","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,22,59417,"Conochilus",8,"adult"
"43","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,18,59434,"Collotheca",8,"adult"
"44","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,19,59270,"Polyarthra",8,"adult"
"45","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,1,59167,"Ascomorpha",8,"adult"
"46","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,19,59175,"Gastropus",8,"adult"
"47","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,35,59255,"Synchaeta",8,"adult"
"48","15-Jul-17",88,6,450,356,46,417684,418540,0.01451,3,20,35,"S",200,1,3,81338,"Dreissena",6,"veliger"
"49","17-Jul-17",88,6,478,330,46,586939,587692,0.01451,3,0,20,"S",300,1,160,85257,"Copepoda or copepods",1,"nauplius"
"50","25-Jul-17",88,6,621,305,46,621208,622059,0.01451,3,20,35,"S",500,1,91,58485,"Kellicottia",8,"adult"
"51","25-Jul-17",88,6,621,305,46,621208,622059,0.01451,3,20,35,"S",500,1,5,59282,"Ploesoma",8,"adult"
"52","25-Jul-17",88,6,621,305,46,621208,622059,0.01451,3,20,35,"S",500,1,67,81338,"Dreissena",6,"veliger"
"53","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,41,85257,"Copepoda or copepods",1,"nauplius"
"54","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,172,59417,"Conochilus",8,"adult"
"55","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,15,59434,"Collotheca",8,"adult"
"56","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,5,58348,"Keratella",8,"adult"
"57","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,13,59270,"Polyarthra",8,"adult"
"58","23-Jul-17",88,6,588,320,18,413662,414085,0.01451,3,0,10,"S",500,1,2,59175,"Gastropus",8,"adult"
