 SiteID ,DreissenidVeligers,Copepodnauplii,Ascomorphaeucaudis,Ascomorphaovalis,Asplanchnapriodonta,Bdelloidea,Cephalodellaspp,Collothecaspp,Conochilusunicornis,Euchlanisspp,Gastropusstylifer,Kellicottialongispina,Keratellacochlearis,Keratellacrassa,Keratellaearlinae,Keratellahiemalis,Keratellaquadrata,Lecaneflexilis,Lecaneludwigi,Lecanespp,Lepadellaspp,Monostylacopeis,Monostylalunaris,Monostylaspp,Notholcaacuminata,Notholcafoliacea,Notholcalaurentiae,Notholcasquamula,Ploesomahudsoni,Ploesomalenticulare,Ploesomatruncatum,Polyarthraspp,Pompholyxsulcata,Ptygura,Rotifera,Stephanoceros,Synchaetaspp,Trichocercacylindrica,Trichocercamulticrinis,Trichocercaporcellus,Trichocercarousseleti,Trichocercaspp,Trichotriaspp,Tylotrochamonopus
Ztx64-22282,1300,2729,0,0,223,0,0,0,7,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,247,0,0,0,0,0,0,0
Ztx64-22206,1368,985,0,0,43,0,0,2,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,187,0,0,0,0,0,0,0
Ztx64-22252,1925,4470,0,0,989,0,0,9,589,0,81,83,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1363,0,0,0,0,3743,0,0,0,0,0,0,0
Ztx64-22370,3908,6674,0,0,379,0,0,26,538,0,19,24,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,293,0,0,0,0,61,0,0,0,0,0,0,0
Ztx64-22666,17881,3109,0,6,423,0,0,12,3612,0,114,31,39,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1910,0,0,0,0,483,0,48,0,0,0,0,0
Ztx64-22286,7283,9436,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,126,0,0,0,0,0,0,0
Ztx64-22210,10007,9996,0,0,724,0,0,7,15,0,30,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,364,0,0,0,0,0,0,0
Ztx64-22256,6402,11781,0,0,1159,0,0,32,980,0,78,293,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,464,0,0,0,0,0,0,0
Ztx64-22374,4756,15770,0,0,0,0,0,289,1488,0,156,248,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,120,0,0,0,0,69,0,0,0,0,0,0,0
Ztx64-22670,25751,8367,0,48,875,0,0,90,9391,0,471,346,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,1995,0,0,0,0,441,0,0,0,0,0,0,0
Ztx64-22290,2265,7960,0,0,0,0,0,0,8,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,6,33,0,0,0,36,0,0,0,0,0,0,0
Ztx64-22214,4387,9168,0,0,0,0,0,7,23,0,6,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,602,0,0,0,0,0,0,0
Ztx64-22260,820,1385,0,0,2594,0,0,12,984,0,15,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,20,0,0,0,0,0,0,0
Ztx64-22378,15967,20980,0,7,0,0,0,237,3135,0,149,357,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,231,0,0,0,0,0,0,0
Ztx64-22674,2649,4683,0,18,0,0,0,11,2877,0,283,128,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,926,0,0,0,0,375,0,0,0,0,0,0,0
Ztx64-22106,3377,2667,0,0,0,0,0,4,80,0,31,95,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,0,0,0,0,1503,0,0,0,0,0,0,0
Ztx64-22562,184,1711,0,37,614,0,0,10,2235,0,12,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,368,0,0,0,0,5,0,27,0,0,0,0,0
Ztx64-22110,7931,7605,0,0,0,0,0,0,55,0,0,79,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,315,0,0,0,0,0,0,0
