SiteID,DreissenidVeligers,Copepodnauplii,Ascomorphaeucaudis,Ascomorphaovalis,Asplanchnapriodonta,Bdelloidea,Cephalodellaspp,Collothecaspp,Conochilusunicornis,Euchlanisspp,Gastropusstylifer,Kellicottialongispina,Keratellacochlearis,Keratellacrassa,Keratellaearlinae,Keratellahiemalis,Keratellaquadrata,Lecaneflexilis,Lecaneludwigi,Lecanespp,Lepadellaspp,Monostylacopeis,Monostylalunaris,Monostylaspp,Notholcaacuminata,Notholcafoliacea,Notholcalaurentiae,Notholcasquamula,Ploesomahudsoni,Ploesomalenticulare,Ploesomatruncatum,Polyarthraspp,Pompholyxsulcata,Ptygura,Rotifera,Stephanoceros,Synchaetaspp,Trichocercacylindrica,Trichocercamulticrinis,Trichocercaporcellus,Trichocercarousseleti,Trichocercaspp,Trichotriaspp,Tylotrochamonopus
Ztx64-22282,7045,15915,0,0,252,0,0,0,252,0,440,4466,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,6102,0,0,0,0,0,0,0
Ztx64-22206,7413,5744,0,0,49,0,0,98,0,0,147,442,245,98,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,98,786,0,0,0,0,4615,0,0,0,0,0,0,0
Ztx64-22252,10428,26070,0,0,1117,0,0,372,20856,0,3724,8938,13035,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,23835,0,0,0,0,92362,0,0,0,0,0,0,0
Ztx64-22370,21172,38922,0,0,428,0,0,1069,19033,0,855,2566,855,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,5133,0,0,0,0,1497,0,0,0,0,0,0,0
Ztx64-22666,96870,18133,0,477,477,0,0,477,127887,0,5249,3340,24814,2863,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772,33403,0,0,0,0,11930,0,477,0,0,0,0,0
Ztx64-22286,39457,55032,0,0,0,0,0,0,0,0,0,3738,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,3115,0,0,0,0,0,0,0
Ztx64-22210,54213,58300,0,0,817,0,0,272,545,0,1362,4359,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,0,0,0,0,8990,0,0,0,0,0,0,0
Ztx64-22256,34682,68710,0,0,1309,0,0,1309,34682,0,3599,31737,7853,654,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17014,0,0,0,0,11452,0,0,0,0,0,0,0
Ztx64-22374,11044,110435,0,0,0,0,0,9419,34430,0,7795,26310,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,1949,0,0,0,0,974,0,0,0,0,0,0,0
Ztx64-22670,147003,64107,0,4421,1105,0,0,4421,273006,0,23211,35369,38685,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421,34264,0,0,0,0,14369,0,0,0,0,0,0,0
