,SiteID,Species,Count,Site,UnifiedDate,MonthPeriod,DFS,Month,Area,MeterEnd,MeterMCoe,Volume,Julian
1,Ztx153-22090,Senecellacopepodites,201,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
2,Ztx153-22090,Holopediumgibberum,2412,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
3,Ztx153-22090,Limnocalanuscopepodites,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
4,Ztx153-22090,Harpacticoidcopepodites,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
5,Ztx153-22090,Polyphemuspediculus,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
6,Ztx153-22090,Cyclopscopepodites,92862,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
7,Ztx153-22090,Mysisdiluviana,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
8,Ztx153-22090,Mesocyclopsedax,603,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
9,Ztx153-22090,Ceriodaphniaspp,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
10,Ztx153-22090,Alonaspp,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
11,Ztx153-22090,Diacyclopsthomasi,603,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
12,Ztx153-22090,Chydorussp,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
13,Ztx153-22090,Calanoidcopepodites,6030,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
14,Ztx153-22090,Leptodiaptomusminutus,804,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
15,Ztx153-22090,Leptodiaptomussicilis,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
16,Ztx153-22090,Diacyclopsnanus,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
17,Ztx153-22090,Epischuralacustris,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
18,Ztx153-22090,Senecellacalanoides,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
19,Ztx153-22090,Daphniaspp,201,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
20,Ztx153-22090,Daphniaparvula,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
21,Ztx153-22090,Microcyclopsvaricans,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
22,Ztx153-22090,Limnocalanusmacrurus,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
23,Ztx153-22090,Epischuracopepodites,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
24,Ztx153-22090,Skistodiaptomusoregonensis,1407,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
25,Ztx153-22090,Cercopagispengoi,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
26,Ztx153-22090,Daphniaretrocurva,201,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
27,Ztx153-22090,Tropocyclopsprasinusmexicanus,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
28,Ztx153-22090,Leptodiaptomusashlandi,402,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
29,Ztx153-22090,Daphnialongiremis,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
30,Ztx153-22090,Bosminaspp,402,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
31,Ztx153-22090,Leptodorakindti,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
32,Ztx153-22090,Eurytemoracarolleea,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
33,Ztx153-22090,Bythotrepheslongimanus,3,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
34,Ztx153-22090,Daphniagaleatamendotae,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
35,Ztx153-22090,Eurycercuslamellatus,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
36,Ztx153-22090,Alonella,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
37,Ztx153-22090,Diaphanosomaspp,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
38,Ztx153-22090,Eubosminacoregoni,0,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
39,Ztx153-22090,Bosminalongirostris,22110,Spanish River 5,6/18/2020,L June,Nearshore,June,NC,150,23.4285,4.600171332,170
40,Ztx153-22094,Daphniagaleatamendotae,0,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
41,Ztx153-22094,Daphniaparvula,0,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
42,Ztx153-22094,Eubosminacoregoni,0,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
43,Ztx153-22094,Bosminalongirostris,10070,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
44,Ztx153-22094,Epischuralacustris,0,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
45,Ztx153-22094,Daphniaspp,0,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
46,Ztx153-22094,Daphnialongiremis,95,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
47,Ztx153-22094,Tropocyclopsprasinusmexicanus,190,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
48,Ztx153-22094,Epischuracopepodites,855,Spanish River 18,6/16/2020,L June,Midshore,June,NC,108,16.86852,3.312123359,168
