SiteID,Epischuralacustris,Eurytemoracarolleea,Leptodiaptomusashlandi,Leptodiaptomusminutus,Leptodiaptomussicilis,Limnocalanusmacrurus,Senecellacalanoides,Skistodiaptomusoregonensis,Diacyclopsnanus,Diacyclopsthomasi,Mesocyclopsedax,Microcyclopsvaricans,Tropocyclopsprasinusmexicanus,Alonaspp,Alonella ,Bosminalongirostris,Bosminaspp,Bythotrepheslongimanus,Cercopagispengoi,Ceriodaphniaspp,Chydorussp,Daphniagaleatamendotae,Daphnialongiremis,Daphniaparvula,Daphniaretrocurva,Daphniaspp,Diaphanosomaspp,Eubosminacoregoni,Eurycercuslamellatus,Holopediumgibberum,Leptodorakindti,Polyphemuspediculus,Harpacticoidcopepodites,Calanoidcopepodites,Epischuracopepodites,Limnocalanuscopepodites,Senecellacopepodites,Cyclopscopepodites,Mysisdiluviana
Ztx153-22282,65,0,1885,1170,585.5,98,0,130,0,3120,0,0,32.5,0,0,780,292.5,2,0,0,0,0,32.5,0,0,0,0,0,0,32.5,0,0,0,2145,162.5,162.5,0,2730,0
Ztx153-22206,34.25,0,9.75,29.25,10,0,0,63.125,0,63,0,0,0,0,0,1433.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.625,160.875,9.75,0,146.25,0
Ztx153-22252,0,0,675,90,0,0,0,68,0,135,0,0,0,0,0,5850,225,3,0,0,0,0,0,0,0,0,0,0,0,135,22.5,0,0,8235,22.5,22.5,0,3622.5,0
Ztx153-22370,0,0,2145,1573,429,143,0,429,0,2431,0,0,0,0,0,15444,3146,3,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,36751,0,0,0,11869,0
Ztx153-22666,0,0,918,2108,0,0,0,1360,0,0,0,0,0,0,0,408,0,44,0,0,0,0,0,0,0,0,0,0,0,612,34,0,0,7854,238,0,0,1326,0
Ztx153-22286,0,0,3336.75,1138.75,1530.5,117.5,0,235.25,0,1727,79,0,39.25,0,0,117.75,117.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4670.75,0,314,117.75,2276.5,0
Ztx153-22210,0,0,1536,624,1152,48,0,192,0,1248,0,0,0,0,0,768,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,10704,0,768,48,2832,0
Ztx153-22256,88.5,0,3097.5,3628.5,1151,265.5,0,708.5,0,4248,1327.5,0,88.5,0,0,3009,0,20,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,36108,0,177,88.5,8142,0
Ztx153-22374,311,0,2488.5,933,155.5,311,0,311,0,1555.5,466.5,0,0,0,0,2954.5,1399.5,15,0,0,0,0,0,0,0,0,0,0,0,155.5,0,155.5,0,48827,0,0,155.5,16016.5,0
Ztx153-22670,0,0,13435.5,1775,254,0,0,2282,0,760.5,0,0,254,0,0,3549,0,115,0,0,0,0,0,0,253.5,0,0,0,0,3042,0,0,0,82387.5,507,0,0,20787,0
Ztx153-22290,0,0,2365,2838,1634,0,0,301,0,4558,0,0,0,0,0,86,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7052,43,817,258,1118,0
Ztx153-22214,0,0,4001,1397,1016.5,191,64,63.5,0,4255,254.5,0,0,0,0,508,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13716,127,1016,63.5,2730.5,0
Ztx153-22260,203.5,0,2030,1319.5,1015.5,710.5,0,0,0,2741,203.5,0,0,0,0,3857,0,13,0,0,0,0,0,0,0,0,0,0,0,304.5,0,0,0,45370.5,0,101.5,203,7612.5,0
Ztx153-22378,452,0,2258,6321.5,2257.5,2107,0,602.5,0,3913.5,752.5,0,150.5,0,0,1956.5,0,14,0,0,0,150.5,0,0,0,0,0,0,0,451.5,0,451.5,0,45902.5,301,150.5,150.5,13846,0
Ztx153-22674,105,0,4598,1045,627,104.5,0,523,0,1986,209,0,0,0,0,2299,0,59,0,0,0,0,0,0,0,0,0,0,0,3553,0,0,0,38142.5,418,313.5,209,16197.5,0
Ztx153-22106,106.5,0,133,822,0,26.5,0,80,0,132.5,26.5,0,53,0,0,1325,26.5,7,0,0,0,0,0,0,0,0,0,0,0,238.5,0,0,26.5,3763,1484,106,0,2040.5,0
Ztx153-22562,57,0,10,285.5,0,0,0,0,0,20,0,0,0,0,0,123.5,0,8,0,0,0,0,0,0,0,0,0,0,0,2546,0,0,0,427.5,845.5,0,0,171,0
Ztx153-22110,26,0,510.5,586.5,153,52,0,26,0,5125.5,0,0,0,0,0,1632,0,3,0,0,0,0,0,0,0,0,0,0,0,76.5,0,0,0,4029,229.5,357,204,1989,0
Ztx153-22566,98,0,2678.666667,2123.333333,0,65.33333333,0,33,0,980.3333333,97.66666667,0,0,0,0,1470,0,32,0,0,0,0,0,0,0,0,0,0,0,914.6666667,0,0,0,6010.666667,653.3333333,32.66666667,130.6666667,4018,0
