OPDATE,VESSEL,CRUISE,SERIAL,PORT,STATIONDEPTH,FLOWSTART,FLOWEND,DISTANCEPARM,TOTALCOUNT,ITIS,REFNAME
15-Jul-17,88,6,451,356,46,418542,419250,0.01451,81,81338,Dreissena
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,44,59417,Conochilus
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,4,59434,Collotheca
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,3,59270,Polyarthra
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,1,59167,Ascomorpha
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,2,59175,Gastropus
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,119,59255,Synchaeta
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,1,58485,Kellicottia
19-Jul-17,88,6,522,326,73,926770,927629,0.01451,5,81338,Dreissena
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,68,85257,Copepoda or copepods
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,543,59417,Conochilus
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,59434,Collotheca
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,12,59270,Polyarthra
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,3,59167,Ascomorpha
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,16,59175,Gastropus
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,11,59255,Synchaeta
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,1,59282,Ploesoma
20-Jul-17,88,6,535,326,46,31964,32574,0.01451,32,81338,Dreissena
22-Jul-17,88,6,577,320,46,326273,327034,0.01451,91,85257,Copepoda or copepods
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,182,59417,Conochilus
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,3,59434,Collotheca
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,2,58348,Keratella
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,3,59270,Polyarthra
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,2,59167,Ascomorpha
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,16,59175,Gastropus
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,35,59255,Synchaeta
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,5,59282,Ploesoma
21-Jul-17,88,6,563,320,68,221816,222543,0.01451,55,81338,Dreissena
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,143,85257,Copepoda or copepods
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,22,59417,Conochilus
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,18,59434,Collotheca
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,19,59270,Polyarthra
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,1,59167,Ascomorpha
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,19,59175,Gastropus
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,35,59255,Synchaeta
15-Jul-17,88,6,450,356,46,417684,418540,0.01451,3,81338,Dreissena
17-Jul-17,88,6,478,330,46,586939,587692,0.01451,160,85257,Copepoda or copepods
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,91,58485,Kellicottia
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,5,59282,Ploesoma
25-Jul-17,88,6,621,305,46,621208,622059,0.01451,67,81338,Dreissena
