Senecellacopepodites,Holopediumgibberum,Limnocalanuscopepodites,Harpacticoidcopepodites,Polyphemuspediculus,Cyclopscopepodites,Mysisdiluviana,Mesocyclopsedax,Ceriodaphniaspp,Alonaspp,Diacyclopsthomasi,Chydorussp,Calanoidcopepodites,Leptodiaptomusminutus,Leptodiaptomussicilis,Diacyclopsnanus,Epischuralacustris,Senecellacalanoides,Daphniaspp,Daphniaparvula,Microcyclopsvaricans,Limnocalanusmacrurus,Epischuracopepodites,Skistodiaptomusoregonensis,Cercopagispengoi,Daphniaretrocurva,Tropocyclopsprasinusmexicanus,Leptodiaptomusashlandi,Daphnialongiremis,Bosminaspp,Leptodorakindti,Eurytemoracarolleea,Bythotrepheslongimanus,Daphniagaleatamendotae,Eurycercuslamellatus,Alonella,Diaphanosomaspp,Eubosminacoregoni,Bosminalongirostris,Lecaneludwigi,Lecanespp,Trichocercaporcellus,Copepodnauplii,Ptygura,Stephanoceros,Ploesomahudsoni,Euchlanisspp,Keratellacochlearis,Rotifera,Collothecaspp,Gastropusstylifer,DreissenidVeligers,Keratellacrassa,Conochilusunicornis,Lecaneflexilis,Ascomorphaovalis,Monostylaspp,Notholcaacuminata,Kellicottialongispina,Tylotrochamonopus,Trichocercaspp,Bdelloidea,Monostylacopeis,Monostylalunaris,Pompholyxsulcata,Lepadellaspp,Ploesomatruncatum,Trichocercarousseleti,Synchaetaspp,Keratellaearlinae,Ploesomalenticulare,Ascomorphaeucaudis,Asplanchnapriodonta,Cephalodellaspp,Notholcalaurentiae,Trichotriaspp,Keratellahiemalis,Notholcafoliacea,Polyarthraspp,Trichocercacylindrica,Notholcasquamula,Keratellaquadrata,Trichocercamulticrinis
43.69402474,524.3282969,0,0,0,20186.63943,0,131.0820742,0,0,131.0820742,0,1310.820742,174.776099,0,0,0,0,43.69402474,0,0,0,0,305.8581732,0,43.69402474,0,87.38804948,0,87.38804948,0,0,0.652149623,0,0,0,0,0,4806.342722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,315.5075723,0,0,0,5908.596353,0,143.4125328,0,28.68250657,401.555092,0,3843.45588,258.1425591,0,0,0,0,0,0,0,0,258.1425591,200.777546,0,0,57.36501314,86.04751971,28.68250657,0,0,0,0,0,0,0,0,0,3040.345696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,485.4891638,102.1701076,0,0,4546.569789,0,178.978841,0,0,894.1695943,0,6922.205944,204.7025206,0,0,25.72367958,0,0,0,0,153.6174668,230.0638948,357.5953766,0,0,51.08505381,306.8726282,25.72367958,383.3190562,0,0,5.796885538,0,0,0,0,0,3141.911962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,48.70742497,21.60245626,5.502512444,0,415.9491814,0,5.502512444,0,0,27.10496871,0,766.8871973,167.5209344,0,0,21.80625302,0,0,0,0,5.502512444,302.4343877,16.30374057,0,0,10.80122813,27.10496871,0,5.502512444,0,0,1.4265773,0,0,0,0,0,270.0307033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23.75687912,8.967057316,41.57453846,0,0,231.6295714,0,0,0,0,596.9498156,0,469.1983627,68.35925512,17.81765934,0,3.027837535,0,0,0,0,6.05567507,26.78471666,3.027837535,0,0,0,59.5086531,0,0,0,0,0.349365869,0,0,0,0,0,190.055033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.30374058,6.521496231,97.82244346,0,0,55.43271796,0,0,0,0,388.0290257,0,736.9290741,140.212169,114.126184,0,0,0,0,0,0,0,0,6.521496231,0,0,0,94.56169534,0,0,0,0,0.079530442,0,0,0,0,0,13.04299246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.52149623,32.60748115,32.60748115,6.52149623,6.52149623,443.4617437,0,45.65047361,0,0,391.2897738,0,1258.648772,528.2411946,58.69346607,0,52.17196984,0,0,0,0,6.52149623,365.2037889,6.52149623,0,0,0,19.56448869,0,39.12897738,0,0,1.956448869,0,0,0,0,0,495.6337135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.478131323,1.739065661,23.69476964,0,0,123.0388955,0,1.739065661,0,1.739065661,58.91084928,0,288.0327502,131.5168406,16.73850699,0,0,0,0,0,0,0,18.47757265,1.739065661,0,0,1.739065661,10.21701076,0,0,0,0,0,0,0,0,0,0,45.4330904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55.29685345,10.05397335,40.21589342,0,0,211.1334404,0,0,0,0,397.1319475,0,809.344855,457.4557876,35.18890674,0,0,0,0,0,0,15.08096003,10.05397335,10.05397335,0,0,0,115.6206936,0,10.05397335,0,0,0.135864505,0,0,0,0,0,90.48576018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.416021835,0,47.28084767,0,0,70.96008993,0,3.416021835,0,0,435.6980577,0,550.5229734,509.9965326,114.8249158,0,0,3.416021835,0,0,0,0,0,0,0,0,0,135.0881362,0,0,0,0,0,0,0,0,0,0,6.75440681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
