"","NH4","NOx","SRP","TN","TP","K","Na","Ca","Mg","Cl","SO4","chla","DOC"
"NH4",1,-0.0710375141328148,0.36082937596314,-0.013496388346009,-0.0295141711279111,0.0377846379325757,0.153970814676625,-0.159038999337091,-0.0541960085314621,0.104236582685044,-0.0879865902842543,0.108564708899975,0.0551234295815508
"NOx",-0.0710375141328148,1,-0.202450710598455,0.559448590209125,0.170568419948415,0.298568517503377,0.221905880037165,0.544726334351667,0.604611708820441,0.439380984460082,0.507755414939788,-0.0350088632636193,-0.554014131108949
"SRP",0.36082937596314,-0.202450710598455,1,0.0870001407913693,-0.229513674089363,0.214867920991689,-0.0105003568234016,-0.0739097501680517,-0.0343968023270586,-0.115894191895353,0.1032693949469,-0.154210222887031,0.355159860323939
"TN",-0.013496388346009,0.559448590209125,0.0870001407913693,1,0.0677260419032882,0.380742782920176,0.315892142809294,0.464915947333699,0.555339091320257,0.295966011875747,0.526406589013883,0.0246803610937055,-0.235454278127741
"TP",-0.0295141711279111,0.170568419948415,-0.229513674089363,0.0677260419032882,1,-0.318059624766931,-0.193220667746419,-0.151285799486388,-0.137995535012057,0.10078022282803,-0.133769255379728,0.48304252843202,-0.377068348096774
"K",0.0377846379325757,0.298568517503377,0.214867920991689,0.380742782920176,-0.318059624766931,1,0.682923127345775,0.764538506250651,0.819019798843194,0.462198381445249,0.780153255531498,-0.435846722719092,0.124154861148676
"Na",0.153970814676625,0.221905880037165,-0.0105003568234016,0.315892142809294,-0.193220667746419,0.682923127345775,1,0.631214595048582,0.69467970426876,0.738890303290942,0.624974320453472,-0.168174590540291,-0.0303284860001028
"Ca",-0.159038999337091,0.544726334351667,-0.0739097501680517,0.464915947333699,-0.151285799486388,0.764538506250651,0.631214595048582,1,0.911284901965238,0.604338836845042,0.83919369582364,-0.373870245780791,-0.129971479469945
"Mg",-0.0541960085314621,0.604611708820441,-0.0343968023270586,0.555339091320257,-0.137995535012057,0.819019798843194,0.69467970426876,0.911284901965238,1,0.654306848662045,0.908743374128431,-0.276471974729059,-0.210645263126295
"Cl",0.104236582685044,0.439380984460082,-0.115894191895353,0.295966011875747,0.10078022282803,0.462198381445249,0.738890303290942,0.604338836845042,0.654306848662045,1,0.625340319722724,0.0493976435227945,-0.314732708277152
"SO4",-0.0879865902842543,0.507755414939788,0.1032693949469,0.526406589013883,-0.133769255379728,0.780153255531498,0.624974320453472,0.83919369582364,0.908743374128431,0.625340319722724,1,-0.354575049264392,-0.0828909917185758
"chla",0.108564708899975,-0.0350088632636193,-0.154210222887031,0.0246803610937055,0.48304252843202,-0.435846722719092,-0.168174590540291,-0.373870245780791,-0.276471974729059,0.0493976435227945,-0.354575049264392,1,-0.42639305055498
"DOC",0.0551234295815508,-0.554014131108949,0.355159860323939,-0.235454278127741,-0.377068348096774,0.124154861148676,-0.0303284860001028,-0.129971479469945,-0.210645263126295,-0.314732708277152,-0.0828909917185758,-0.42639305055498,1
