,NOx,Ca,Mg,SiSiO2,Cl_log,NH4_log,SO4_log,Na_log,K_log,TP_log,TN_log,SRP_log,chla_log,DOC_log
NOx,1,0.646177914,0.681917428,-0.240352495,0.486465612,-0.092518144,0.594039368,0.34703843,0.395448119,0.184409707,0.680940616,-0.184681519,-0.389624228,-0.494513469
Ca,0.646177914,1,0.929338137,-0.463346396,0.664596997,-0.066152499,0.841679944,0.690706479,0.795532417,-0.110867569,0.595896702,-0.087278688,-0.463818025,-0.551314251
Mg,0.681917428,0.929338137,1,-0.470247365,0.753280697,0.036411138,0.914412015,0.774398358,0.835222142,-0.072175041,0.638638549,-0.03211709,-0.379868235,-0.526130141
SiSiO2,-0.240352495,-0.463346396,-0.470247365,1,-0.531202705,-0.293919281,-0.296478437,-0.566718882,-0.418340816,0.165622591,-0.164131107,0.307173441,0.314362692,0.207315342
Cl_log,0.486465612,0.664596997,0.753280697,-0.531202705,1,0.216304583,0.718407304,0.82866802,0.581975302,0.145371849,0.441019837,-0.0914568,-0.236978342,-0.205252925
NH4_log,-0.092518144,-0.066152499,0.036411138,-0.293919281,0.216304583,1,0.0127194,0.242700596,0.086605501,-0.020187306,-0.058629851,0.305631096,0.026952744,0.252013563
SO4_log,0.594039368,0.841679944,0.914412015,-0.296478437,0.718407304,0.0127194,1,0.711183762,0.783160372,-0.055325714,0.593928174,0.065388243,-0.362778121,-0.501828756
Na_log,0.34703843,0.690706479,0.774398358,-0.566718882,0.82866802,0.242700596,0.711183762,1,0.735636712,-0.121308656,0.43621245,0.021941228,-0.201470177,-0.209940763
K_log,0.395448119,0.795532417,0.835222142,-0.418340816,0.581975302,0.086605501,0.783160372,0.735636712,1,-0.24852857,0.459212004,0.170878273,-0.270169141,-0.394861164
TP_log,0.184409707,-0.110867569,-0.072175041,0.165622591,0.145371849,-0.020187306,-0.055325714,-0.121308656,-0.24852857,1,0.090699792,-0.264993873,0.125419917,0.158094574
TN_log,0.680940616,0.595896702,0.638638549,-0.164131107,0.441019837,-0.058629851,0.593928174,0.43621245,0.459212004,0.090699792,1,0.064571136,-0.061891231,-0.336125216
SRP_log,-0.184681519,-0.087278688,-0.03211709,0.307173441,-0.0914568,0.305631096,0.065388243,0.021941228,0.170878273,-0.264993873,0.064571136,1,0.127954836,0.131968081
chla_log,-0.389624228,-0.463818025,-0.379868235,0.314362692,-0.236978342,0.026952744,-0.362778121,-0.201470177,-0.270169141,0.125419917,-0.061891231,0.127954836,1,0.540106659
DOC_log,-0.494513469,-0.551314251,-0.526130141,0.207315342,-0.205252925,0.252013563,-0.501828756,-0.209940763,-0.394861164,0.158094574,-0.336125216,0.131968081,0.540106659,1
