"","NOx","Ca","Mg","SiSiO2","Cl_log","NH4_log","SO4_log","Na_log","K_log","TP_log","TN_log","SRP_log","chla_log","DOC_log"
"NOx",NA,0,0,0.0519045747774753,1.82662329706318e-10,0.224668373260474,4.44089209850063e-16,5.29957167172412e-06,1.59982778136225e-07,0.0148536850232954,0,0.0147043308251813,1.07264874316115e-07,6.22790707893728e-12
"Ca",0,NA,0,8.93506936030519e-05,0,0.400007457950391,0,0,0,0.157567922604879,0,0.266445480382399,3.97856858569412e-10,3.50830475781549e-14
"Mg",0,0,NA,6.77504311992205e-05,0,0.643452492229496,0,0,0,0.358398893428292,0,0.683083655091444,5.25324335143296e-07,7.64055485547033e-13
"SiSiO2",0.0519045747774753,8.93506936030519e-05,6.77504311992205e-05,NA,4.45713250996072e-06,0.0166041765426284,0.0156404296070853,7.03342033503418e-07,0.000473247879369865,0.183842896007399,0.187878426004508,0.0121147934451127,0.0101514637264586,0.0975082943328218
"Cl_log",1.82662329706318e-10,0,0,4.45713250996072e-06,NA,0.00724284693222321,0,0,3.10862446895044e-15,0.0729823619303289,1.15937952571699e-08,0.260869231579126,0.003184409989891,0.0117460948804822
"NH4_log",0.224668373260474,0.400007457950391,0.643452492229496,0.0166041765426284,0.00724284693222321,NA,0.875996476571145,0.00174055673308793,0.270165469384271,0.791474444380749,0.442209272392688,4.11263883490776e-05,0.724063941055441,0.000883650066647812
"SO4_log",4.44089209850063e-16,0,0,0.0156404296070853,0,0.875996476571145,NA,0,0,0.496979696375989,4.44089209850063e-16,0.421954558622712,4.05577520612432e-06,6.07063288526888e-11
"Na_log",5.29957167172412e-06,0,0,7.03342033503418e-07,0,0.00174055673308793,0,NA,0,0.121779731018627,5.2632849190104e-09,0.780345209991843,0.00968366911201857,0.00751875961988402
"K_log",1.59982778136225e-07,0,0,0.000473247879369865,3.10862446895044e-15,0.270165469384271,0,0,NA,0.00133255824619249,6.22119689097644e-10,0.0286923482735548,0.000467565223313926,2.17895334886364e-07
"TP_log",0.0148536850232954,0.157567922604879,0.358398893428292,0.183842896007399,0.0729823619303289,0.791474444380749,0.496979696375989,0.121779731018627,0.00133255824619249,NA,0.192610562315842,0.000409783715786816,0.0710644483548784,0.03890431176094
"TN_log",0,0,0,0.187878426004508,1.15937952571699e-08,0.442209272392688,4.44089209850063e-16,5.2632849190104e-09,6.22119689097644e-10,0.192610562315842,NA,0.397275887945002,0.374497376231912,6.96871893257622e-06
"SRP_log",0.0147043308251813,0.266445480382399,0.683083655091444,0.0121147934451127,0.260869231579126,4.11263883490776e-05,0.421954558622712,0.780345209991843,0.0286923482735548,0.000409783715786816,0.397275887945002,NA,0.0924528996268907,0.0853266174686611
"chla_log",1.07264874316115e-07,3.97856858569412e-10,5.25324335143296e-07,0.0101514637264586,0.003184409989891,0.724063941055441,4.05577520612432e-06,0.00968366911201857,0.000467565223313926,0.0710644483548784,0.374497376231912,0.0924528996268907,NA,2.46469511466785e-14
"DOC_log",6.22790707893728e-12,3.50830475781549e-14,7.64055485547033e-13,0.0975082943328218,0.0117460948804822,0.000883650066647812,6.07063288526888e-11,0.00751875961988402,2.17895334886364e-07,0.03890431176094,6.96871893257622e-06,0.0853266174686611,2.46469511466785e-14,NA
