STIS,StationCode,DFS,Month,Area,Year
7000,Thes18,Midshore,April,NC,2017
7001,Thes18,Midshore,April,NC,2017
7002,Thes18,Midshore,April,NC,2017
7004,Thes46,Midshore,April,NC,2017
7005,Thes46,Midshore,April,NC,2017
7006,Thes46,Midshore,April,NC,2017
7008,Span18,Midshore,April,NC,2017
7009,Span18,Midshore,April,NC,2017
7010,Span18,Midshore,April,NC,2017
7012,Span46,Midshore,April,NC,2017
7013,Span46,Midshore,April,NC,2017
7014,Span46,Midshore,April,NC,2017
7016,Fren18,Midshore,April,GB,2017
7017,Fren18,Midshore,April,GB,2017
7018,Fren18,Midshore,April,GB,2017
7020,Fren46,Midshore,April,GB,2017
7021,Fren46,Midshore,April,GB,2017
7022,Fren46,Midshore,April,GB,2017
7024,Fren82,Offshore,April,GB,2017
7025,Fren82,Offshore,April,GB,2017
7026,Fren82,Offshore,April,GB,2017
7028,Parr18,Midshore,April,GB,2017
7029,Parr18,Midshore,April,GB,2017
7030,Parr18,Midshore,April,GB,2017
7032,Parr46,Midshore,April,GB,2017
7033,Parr46,Midshore,April,GB,2017
7034,Parr46,Midshore,April,GB,2017
7036,Parr82,Offshore,April,GB,2017
7037,Parr82,Offshore,April,GB,2017
7038,Parr82,Offshore,April,GB,2017
7040,Nott18,Midshore,April,GB,2017
7041,Nott18,Midshore,April,GB,2017
7042,Nott18,Midshore,April,GB,2017
7044,Nott46,Midshore,April,GB,2017
7045,Nott46,Midshore,April,GB,2017
7046,Nott46,Midshore,April,GB,2017
7048,Nott82,Offshore,April,GB,2017
7049,Nott82,Offshore,April,GB,2017
7050,Nott82,Offshore,April,GB,2017
7060,Mait18,Midshore,May,SMB,2017
7061,Mait18,Midshore,May,SMB,2017
7062,Mait18,Midshore,May,SMB,2017
7063,Mait18,Midshore,May,SMB,2017
7064,Mait46,Midshore,May,SMB,2017
7065,Mait46,Midshore,May,SMB,2017
7066,Mait46,Midshore,May,SMB,2017
7068,Mait73,Offshore,May,SMB,2017
7069,Mait73,Offshore,May,SMB,2017
7070,Mait73,Offshore,May,SMB,2017
7071,Mait73,Offshore,May,SMB,2017
7072,Saug18,Midshore,May,NMB,2017
7073,Saug18,Midshore,May,NMB,2017
7074,Saug18,Midshore,May,NMB,2017
7076,Saug46,Midshore,May,NMB,2017
7077,Saug46,Midshore,May,NMB,2017
7078,Saug46,Midshore,May,NMB,2017
7080,Harb18,Midshore,May,SMB,2017
7081,Harb18,Midshore,May,SMB,2017
7082,Harb18,Midshore,May,SMB,2017
7083,Harb18,Midshore,May,SMB,2017
7084,Harb46,Midshore,May,SMB,2017
7085,Harb46,Midshore,May,SMB,2017
7086,Harb46,Midshore,May,SMB,2017
7088,Harb68,Offshore,May,SMB,2017
7089,Harb68,Offshore,May,SMB,2017
7090,Harb68,Offshore,May,SMB,2017
7092,Ocqu18,Midshore,May,NMB,2017
7093,Ocqu18,Midshore,May,NMB,2017
7094,Ocqu18,Midshore,May,NMB,2017
7095,Ocqu18,Midshore,May,NMB,2017
7096,Ocqu46,Midshore,May,NMB,2017
7097,Ocqu46,Midshore,May,NMB,2017
7098,Ocqu46,Midshore,May,NMB,2017
7100,Ocqu82,Offshore,May,NMB,2017
7101,Ocqu82,Offshore,May,NMB,2017
7102,Ocqu82,Offshore,May,NMB,2017
7112,Saug82,Offshore,May,NMB,2017
