TSN,Taxon Rank Value,Taxon Rank Name,Applicable Common Name
58239,Rotifera,Phylum,
58298,Macrotrachela,Genus,
58348,Keratella,Genus,
58396,Notholca,Genus,
58485,Kellicottia,Genus,
58488,Lepadella,Genus,
58578,Euchlanis,Genus,
58634,Lecane,Genus,
58747,Monostyla,Genus,
58784,Encentrum,Genus,
58796,Proales,Genus,
58819,Cephalodella,Genus,
59074,Trichocerca,Genus,
59167,Ascomorpha,Genus,
59175,Gastropus,Genus,
59185,Wierzejskiella,Genus,
59235,Asplanchna,Genus,
59255,Synchaeta,Genus,
59270,Polyarthra,Genus,
59282,Ploesoma,Genus,
59322,Pompholyx,Genus,
59417,Conochilus,Genus,
59434,Collotheca,Genus,
59454,Stephanoceros,Genus,
59490,Nematoda,Phylum,
68422,Oligochaeta,Subclass,
81338,Dreissena,Genus,
83837,Diaphanosoma,Genus,
83874,Daphnia pulex,Species,
83877,Daphnia galeata mendotae,Subspecies,
83879,Daphnia retrocurva,Species,
83936,Bosmina,Genus,
83952,Eubosmina coregoni,Species,
83957,Holopedium gibberum,Species,
83972,Leptodora kindtii,Species,
83974,Alona,Genus,
83993,Chydorus sphaericus,Species,
85257,Copepoda,Subclass,
85258,Calanoida,Order,
85375,Senecella  calanoides,Species,
85775,Limnocalanus macrurus,Species,
85838,Leptodiaptomus,Genus,
85839,Leptodiaptomus ashlandi,Species,
85841,Leptodiaptomus minutus,Species,
85845,Skistodiaptomus oregonensis,Species,
85858,Epischura lacustris,Species,
86110,Harpacticoida,Order,
88530,Cyclopoida,Order,
88692,Mesocyclops edax,Species,
88745,Tropocyclops prasinus mexicanus,Subspecies,
88762,Acanthocyclops,Genus,
88789,Diacyclops thomasi,Species,
90041,Mysis spp.,Genus,
99208,Insecta,Class,
100502,Ephemeroptera,Order,mayflies
103348,Thysanoptera,Order,thrips
118831,Diptera,Order,true flies
127917,Chironomidae,Family,midges
152741,Hymenoptera,Order,"ants, bees, wasps"
155166,Tardigrada,Phylum,
161932,Coregonus,Genus,whitefishes
162041,Osmerus mordax,Species,rainbow smelt
164725,Lota lota,Species,burbot
172072,Neogobius melanostomus,Species,round goby
202422,Plantae,Kingdom,
666962,Leptodiaptomus sicilis,Species,
684624,Bythotrephes longimanus,Species,spiny water flea
1117840,Arachnida,Subclass,"spider, mite, tick"
